,WalkID,SiteID,Reading_Time,Floor,reading_0_TYPE_BEACON,reading_0_TYPE_WIFI,reading_1_TYPE_BEACON,reading_1_TYPE_WIFI,reading_2_TYPE_BEACON,reading_2_TYPE_WIFI,reading_3_TYPE_BEACON,reading_3_TYPE_WIFI,reading_4_TYPE_BEACON,reading_4_TYPE_WIFI,reading_5_TYPE_BEACON,reading_5_TYPE_WIFI,reading_6_TYPE_BEACON,reading_6_TYPE_WIFI,reading_7_TYPE_BEACON,reading_7_TYPE_WIFI,reading_8_TYPE_ACCELEROMETER,reading_8_TYPE_ACCELEROMETER_UNCALIBRATED,reading_8_TYPE_BEACON,reading_8_TYPE_GYROSCOPE,reading_8_TYPE_GYROSCOPE_UNCALIBRATED,reading_8_TYPE_MAGNETIC_FIELD,reading_8_TYPE_MAGNETIC_FIELD_UNCALIBRATED,reading_8_TYPE_ROTATION_VECTOR,reading_8_TYPE_WIFI
0,1.0,5a0546857ecc773753327266,1578463966747,-1,0.0,,0.0,,0.0,,-56.0,,-76.0,,9.586529272742789,,0.0,,1578463966747.0,,,,0.0,,,,,,
1,1.0,5a0546857ecc773753327266,1578463966777,-1,0.0,,0.0,,0.0,,-56.0,,-85.0,,22.566684388606173,,0.0,,1578463966777.0,,,,0.0,,,,,,
2,1.0,5a0546857ecc773753327266,1578463966781,-1,0.0,,0.0,,0.0,,-56.0,,-79.0,,12.882065968405298,,0.0,,1578463966781.0,,,,0.0,,,,,,
3,1.0,5a0546857ecc773753327266,1578463966810,-1,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,
4,1.0,5a0546857ecc773753327266,1578463966830,-1,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,
5,1.0,5a0546857ecc773753327266,1578463966837,-1,0.0,,0.0,,0.0,,-56.0,,-76.0,,9.586529272742789,,0.0,,1578463966837.0,,,,0.0,,,,,,
6,1.0,5a0546857ecc773753327266,1578463966850,-1,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,
7,1.0,5a0546857ecc773753327266,1578463966870,-1,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,
8,1.0,5a0546857ecc773753327266,1578463966890,-1,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,
9,1.0,5a0546857ecc773753327266,1578463966911,-1,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,
10,1.0,5a0546857ecc773753327266,1578463966931,-1,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,
11,1.0,5a0546857ecc773753327266,1578463966941,-1,0.0,,0.0,,0.0,,-56.0,,-81.0,,15.596896095074634,,0.0,,1578463966941.0,,,,0.0,,,,,,
12,1.0,5a0546857ecc773753327266,1578463966951,-1,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,
13,1.0,5a0546857ecc773753327266,1578463966971,-1,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,
14,1.0,5a0546857ecc773753327266,1578463966991,-1,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,
15,1.0,5a0546857ecc773753327266,1578463967000,-1,0.0,,0.0,,0.0,,-56.0,,-95.0,,53.04457460615716,,0.0,,1578463967000.0,,,,0.0,,,,,,
16,1.0,5a0546857ecc773753327266,1578463967011,-1,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,
17,1.0,5a0546857ecc773753327266,1578463967032,-1,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,
18,1.0,5a0546857ecc773753327266,1578463967046,-1,0.0,,0.0,,0.0,,-56.0,,-76.0,,9.586529272742789,,0.0,,1578463967046.0,,,,0.0,,,,,,
19,1.0,5a0546857ecc773753327266,1578463967048,-1,0.0,,0.0,,0.0,,-56.0,,-76.0,,9.586529272742789,,0.0,,1578463967048.0,,,,0.0,,,,,,
20,1.0,5a0546857ecc773753327266,1578463967052,-1,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,
21,1.0,5a0546857ecc773753327266,1578463967070,-1,0.0,,0.0,,0.0,,-56.0,,-85.0,,22.566684388606173,,0.0,,1578463967070.0,,,,0.0,,,,,,
22,1.0,5a0546857ecc773753327266,1578463967072,-1,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,
23,1.0,5a0546857ecc773753327266,1578463967092,-1,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,
24,1.0,5a0546857ecc773753327266,1578463967106,-1,0.0,,0.0,,0.0,,-56.0,,-93.0,,45.03623730285079,,0.0,,1578463967106.0,,,,0.0,,,,,,
25,1.0,5a0546857ecc773753327266,1578463967112,-1,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,
26,1.0,5a0546857ecc773753327266,1578463967133,-1,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,
27,1.0,5a0546857ecc773753327266,1578463967153,-1,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,
